"Артикул";"Путь";"Главная";"Увелич_фото";"Остальные_фото"
"4664";"картины";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4664__c519/ComfyUI_01694.jpeg";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4664__c519/Vid_kartiny.png";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4664__c519/4664.jpg"
"4664";"картины/картины";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4664__d57c/4664.jpg";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4664__d57c/Vid_kartiny.png";""
"4665";"картины/картины";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4665/4665.jpg";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4665/Vid_kartiny.png";""
"4666";"картины/картины";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4666/4666.jpg";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4666/Vid_kartiny.png";""
"4667";"картины/картины";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4667/4667.jpg";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4667/Vid_kartiny.png";""
"4668";"картины/картины";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4668/4668.jpg";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4668/Vid_kartiny.png";""
"4669";"картины/картины";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4669/4669.jpg";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4669/Vid_kartiny.png";""
"4670";"картины/картины";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4670/4670.jpg";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4670/Vid_kartiny.png";""
"4671";"картины/картины";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4671/4671.jpg";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4671/Vid_kartiny.png";""
"4672";"картины/картины";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4672/4672.jpg";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4672/Vid_kartiny.png";""
"4673";"картины/картины";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4673/4673.jpg";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/4673/Vid_kartiny.png";""
"7777";"картины/картины";"https://0211fd83-7c22-482e-bb4a-5cc4e800f41e-00-1ldaws7eg96a9.pike.replit.dev/images/8de7f36a-cff1-4071-8742-06e114992b18/7777/fzqv0ra1zdrmr0cy7get4sm4b8_result_0.png";"";""
